"province","district","sector","cell","village","hh_count","num_to_survey"
"Eastern Province","Rwamagana","Nzige","Murama","Agasharu",835,47
"Eastern Province","Rwamagana","Gahengeri","Kagezi","Akabuga",662,53
"Eastern Province","Rwamagana","Nzige","Akanzu","Akanzige",541,12
"Eastern Province","Rwamagana","Muyumbu","Murehe","Bitega",964,60
"Eastern Province","Rwamagana","Nzige","Rugarama","Bitega",528,12
"Eastern Province","Rwamagana","Kigabiro","Sibagire","Bugugu",662,10
"Eastern Province","Rwamagana","Karenge","Nyamatete","Cyerwa",828,10
"Eastern Province","Kayonza","Kabare","Gitara","Gahombya",533,11
"Eastern Province","Rwamagana","Kigabiro","Nyagasenyi","Gahonogo",963,12
"Eastern Province","Rwamagana","Muyumbu","Ntebe","Gakomeye",447,11
"Eastern Province","Rwamagana","Muyumbu","Ntebe","Gasave",859,11
"Eastern Province","Rwamagana","Mwulire","Bicumbi","Gasharu",636,10
"Eastern Province","Rwamagana","Nzige","Murama","Gatoki",605,11
"Eastern Province","Rwamagana","Nzige","Akanzu","Gikoni",765,18
"Eastern Province","Rwamagana","Mwulire","Mwulire","Gisanza",700,14
"Eastern Province","Rwamagana","Nzige","Kigarama","Gisenyi",672,14
"Eastern Province","Rwamagana","Muyumbu","Ntebe","Gisenyi",775,12
"Eastern Province","Rwamagana","Nzige","Murama","Kabeza",535,11
"Eastern Province","Rwamagana","Gahengeri","Rweri","Kabigondo",638,12
"Eastern Province","Kayonza","Kabare","Cyarubare","Kacyiru",931,16
"Eastern Province","Rwamagana","Nzige","Kigarama","Kajevuba",922,13
"Eastern Province","Kayonza","Kabare","Gitara","Kajevuba",862,10
"Eastern Province","Rwamagana","Muyumbu","Murehe","Kajororo",1213,38
"Eastern Province","Rwamagana","Nzige","Murama","Kamakuka",518,34
"Eastern Province","Rwamagana","Kigabiro","Sibagire","Kamanga",1795,16
"Eastern Province","Rwamagana","Muyumbu","Akinyambo","Kampigika",1189,13
"Eastern Province","Rwamagana","Gahengeri","Kibare","Kanserege",812,11
"Eastern Province","Rwamagana","Karenge","Nyabubare","Kanyangese",1625,11
"Eastern Province","Kayonza","Kabare","Cyarubare","Kanyetonga",911,10
"Eastern Province","Rwamagana","Muyumbu","Ntebe","Kanyinya",983,12
"Eastern Province","Rwamagana","Mwulire","Bicumbi","Karama",719,10
"Eastern Province","Rwamagana","Karenge","Karenge","Karenge",872,12
"Eastern Province","Rwamagana","Gahengeri","Kibare","Karutimbo",1011,13
"Eastern Province","Rwamagana","Muyumbu","Murehe","Kayigi",811,13
"Eastern Province","Rwamagana","Nzige","Murama","Kibabara",466,68
